Change Order | 89480 | - | RT-50003308 | IT-50017116 | Approve | doug.hewitt | Accept - Change Owner
Change Order | 90942 | - | RT-60002890 | IT-60015043 | Approve | jennifer.butler | Approved - Originator
Change Order | 90942 | - | RT-60002890 | IT-60015045 | Approve | jennifer.butler | Approved - Training
Change Order | 88368 | - | RT-50005037 | IT-50026061 | Approve | amy.brown | Accept - Change Owner
Change Order | 88368 | - | RT-50005037 | IT-50026062 | Approve | amy.brown | Accept - Site Head of Quality - Elkton
Change Order | 88368 | - | RT-50005037 | IT-50026064 | Approve | amy.brown | Implement - CA/PA Quality Management Associate
Change Order | 88368 | - | RT-50005037 | IT-50026066 |  | amy.brown | Implement - Site Head of Quality - Elkton
Change Order | 88368 | - | RT-50005037 | IT-50026067 | Approve | amy.brown | Implement - DHF Implementer
Change Order | 88368 | - | RT-50005037 | IT-50026065 |  | amy.brown | Implement - Change Owner
Change Order | 88368 | - | RT-50005037 | IT-50026063 | Approve | amy.brown | Implement - Project Manager
Change Order | 88368 | - | RT-50005037 | IT-50026068 |  | amy.brown | Implement - Configuration Manager
Change Order | 88368 | - | RT-50005036 | IT-50026060 | Approve | amy.brown | Approved - Regulatory
Change Order | 88368 | - | RT-50005036 | IT-50026059 | Approve | amy.brown | Approved - Originator
Change Order | 88368 | - | RT-50005036 | IT-50026056 | Approve | amy.brown | Approved - Technical Content Drawing Approver
Change Order | 88368 | - | RT-50005036 | IT-50026057 | Approve | amy.brown | Approved - CAD Checker
Change Order | 88368 | - | RT-50005036 | IT-50026058 | Approve | amy.brown | Approved - Configuration Mgr
Change Order | 90856 | - | RT-60003968 | IT-60020922 | Approve | georgia.eierman | Approved - Configuration Mgr.
Change Order | 90856 | - | RT-60003968 | IT-60020923 | Approve | georgia.eierman | Approved - Originator
Change Order | 90856 | - | RT-60003968 | IT-60020924 | Approve | georgia.eierman | Approved - Training
Change Order | 90856 | - | RT-60003968 | IT-60020925 | Approve | georgia.eierman | Approved - Regulatory
Change Order | 90856 | - | RT-60003969 | IT-60020928 | Approve | georgia.eierman | Accept - Change Owner
Change Order | 90856 | - | RT-60003969 | IT-60020931 | Approve | georgia.eierman | Implement - Project Manager
Change Order | 90856 | - | RT-60003969 | IT-60020930 | Approve | georgia.eierman | Accept - Service Mgr.
Change Order | 90856 | - | RT-60003969 | IT-60020926 | Approve | georgia.eierman | Accept - Planned
Change Order | 90856 | - | RT-60003969 | IT-60020927 | Approve | georgia.eierman | Accept - Planned
Change Order | 90856 | - | RT-60003969 | IT-60020929 | Approve | georgia.eierman | Accept - TLC System Administrator
Change Order | 90856 | - | RT-60003969 | IT-60020933 |  | georgia.eierman | Implement - Configuration Mgr.
Change Order | 90856 | - | RT-60003969 | IT-60020932 | Approve | georgia.eierman | Implement - Product SME
Change Order | 90856 | - | RT-60003969 | IT-60020934 |  | georgia.eierman | Implement - Change Owner
Change Order | 90907 | - | RT-60003971 | IT-60020942 | Approve | janie.eskuri | Approved - Configuration Mgr
Change Order | 90907 | - | RT-60003971 | IT-60020944 | Approve | janie.eskuri | Approved - CAD Checker
Change Order | 90907 | - | RT-60003971 | IT-60020943 | Approve | janie.eskuri | Approved - Originator
Change Order | 90907 | - | RT-60003972 | IT-60020946 | Approve | janie.eskuri | Accept - Accepter
Change Order | 90907 | - | RT-60003972 | IT-60020945 | Approve | janie.eskuri | Accept - SQE
Change Order | 90907 | - | RT-60003972 | IT-60020947 |  | janie.eskuri | Accept - Buyer
Change Order | 89314 | - | RT-50001581 | IT-50008314 | Approve | william.broman | Approved - Regulatory
Change Order | 89314 | - | RT-50001581 | IT-50008313 | Approve | william.broman | Approved - Configuration Mgr
Change Order | 89314 | - | RT-50001581 | IT-50008315 | Approve | william.broman | Approved - Originator
Change Order | 89314 | - | RT-50001581 | IT-50008312 | Approve | william.broman | Approved - SQE
Change Order | 89314 | - | RT-50001582 | IT-50008316 |  | william.broman | Accept - Buyer
Change Order | 89314 | - | RT-50001582 | IT-50008317 | Approve | william.broman | Accept - Change Owner
Change Order | 91093 | - | RT-60004302 | IT-60022719 | Approve | jennifer.seagraves | Accept - Change Owner
Change Order | 91093 | - | RT-60004302 | IT-60022720 | Approve | jennifer.seagraves | Accept - Scrap Associate
Change Order | 91093 | - | RT-60004302 | IT-60022721 | Approve | jennifer.seagraves | Accept - Supervisor, Quality Assurance (FAI - Effectivity)
Change Order | 91093 | - | RT-60004302 | IT-60022722 | Approve | jennifer.seagraves | Accept - Buyer
Change Order | 91093 | - | RT-60004302 | IT-60022723 |  | jennifer.seagraves | Accept - Buyer
Change Order | 91093 | - | RT-60004301 | IT-60022714 | Approve | jennifer.seagraves | Approved - Regulatory
Change Order | 91093 | - | RT-60004301 | IT-60022715 | Approve | jennifer.seagraves | Approved - Originator
Change Order | 91093 | - | RT-60004301 | IT-60022717 | Approve | jennifer.seagraves | Approved - SQE
Change Order | 91093 | - | RT-60004301 | IT-60022716 | Approve | jennifer.seagraves | Approved - Configuration Manager
Change Order | 91093 | - | RT-60004301 | IT-60022718 | Approve | jennifer.seagraves | Approved - Graphics
Change Order | 91093 | - | RT-60004301 | IT-60022713 | Approve | jennifer.seagraves | Approved - CAD / Technical Content Drawing Approver
Change Order | 91402 | - | RT-60005829 | IT-60031563 | Approve | amy.brown | Approved - Change Owner
Change Order | 91402 | - | RT-60005829 | IT-60031567 | Approve | amy.brown | Approved - Regulatory
Change Order | 91402 | - | RT-60005829 | IT-60031566 | Approve | amy.brown | Approved - Originator
Change Order | 91402 | - | RT-60005829 | IT-60031565 | Approve | amy.brown | Approved - Graphics
Change Order | 91402 | - | RT-60005829 | IT-60031564 | Approve | amy.brown | Approved - Configuration Manager
Change Order | 91402 | - | RT-60005829 | IT-60031568 | Approve | amy.brown | Approved - Supplier Quality Engineer
Change Order | 91402 | - | RT-60005830 | IT-60031573 |  | amy.brown | Implement - DHF Implementer
Change Order | 91402 | - | RT-60005830 | IT-60031574 |  | amy.brown | Implement - Quality Manager
Change Order | 91402 | - | RT-60005830 | IT-60031575 |  | amy.brown | Implement - Configuration Manager
Change Order | 91402 | - | RT-60005830 | IT-60031569 | Approve | amy.brown | Accept - Change Owner
Change Order | 91402 | - | RT-60005830 | IT-60031570 | Approve | amy.brown | Accept - Buyer
Change Order | 91402 | - | RT-60005830 | IT-60031572 |  | amy.brown | Implement - Change Owner
Change Order | 91402 | - | RT-60005830 | IT-60031571 |  | amy.brown | Implement - Project Manager
Change Order | 90067 | - | RT-60003023 | IT-60015764 | Approve | nashmia.khalid | Approved - Configuration Mgr
Change Order | 90067 | - | RT-60003023 | IT-60015762 | Approve | nashmia.khalid | Approved - Originator
Change Order | 90067 | - | RT-60003023 | IT-60015763 | Approve | nashmia.khalid | Approved - Graphics
Change Order | 90067 | - | RT-60003024 | IT-60015765 |  | nashmia.khalid | Accept - Buyer
Change Order | 90067 | - | RT-60003024 | IT-60015766 | Approve | nashmia.khalid | Accept - Accepter
Change Order | 90789 | - | RT-60004871 | IT-60026093 | Approve | kevin.bemis | Approved - Originator
Change Order | 90789 | - | RT-60004871 | IT-60026091 | Approve | kevin.bemis | Approved - CAD
Change Order | 90789 | - | RT-60004871 | IT-60026095 | Approve | kevin.bemis | Approved - Configuration Mgr
Change Order | 90789 | - | RT-60004871 | IT-60026094 | Approve | kevin.bemis | Approved - SQE
Change Order | 90789 | - | RT-60004871 | IT-60026092 | Approve | kevin.bemis | Approved - Technical Content Drawing Approver
Change Order | 90789 | - | RT-60004871 | IT-60026096 | Approve | kevin.bemis | Approved - Regulatory
Change Order | 90789 | - | RT-60004872 | IT-60026097 | Approve | kevin.bemis | Accept - Change Owner
Change Order | 90789 | - | RT-60004872 | IT-60026098 | Approve | kevin.bemis | Accept - Planned
Change Order | 90789 | - | RT-60004872 | IT-60026099 |  | kevin.bemis | Accept - Buyer
Change Order | 90789 | - | RT-60004872 | IT-60026100 |  | kevin.bemis | Accept - SQE
Change Order | 90789 | - | RT-60004872 | IT-60026101 | Approve | kevin.bemis | Accept - Supervisor, Quality Assurance
Change Order | 91461 | - | RT-60004931 | IT-60026426 | Approve | jennifer.seagraves | Approved - Originator
Change Order | 91461 | - | RT-60004931 | IT-60026424 | Approve | jennifer.seagraves | Approved - Configuration Manager
Change Order | 91461 | - | RT-60004931 | IT-60026425 | Approve | jennifer.seagraves | Approved - Regulatory
Change Order | 91461 | - | RT-60004932 | IT-60026427 | Approve | jennifer.seagraves | Accept - Change Owner / Software Test Engineer
Change Order | 91461 | - | RT-60004932 | IT-60026429 | Approve | jennifer.seagraves | Implement - SME
Change Order | 91461 | - | RT-60004932 | IT-60026428 |  | jennifer.seagraves | Implement - Configuration Manager
Change Order | 91461 | - | RT-60004932 | IT-60026430 |  | jennifer.seagraves | Implement - Change Owner
Change Order | 89497 | - | RT-40005439 | IT-40026937 | Approve | amy.brown | Approved - Regulatory
Change Order | 89497 | - | RT-40005439 | IT-40026938 | Approve | amy.brown | Approved - Configuration Manager
Change Order | 89497 | - | RT-40005439 | IT-40026936 | Approve | amy.brown | Approved - Originator
Change Order | 89497 | - | RT-40005439 | IT-40026935 | Approve | amy.brown | Approved - SQE
Change Order | 89497 | - | RT-40005440 | IT-40026939 |  | amy.brown | Accept - Buyer
Change Order | 89497 | - | RT-40005440 | IT-40026940 | Approve | amy.brown | Accept - Change Owner
Change Order | 91233 | - | RT-60003269 | IT-60017038 | Approve | jennifer.seagraves | Approved - Quality Supervisor (Rework)
Change Order | 91233 | - | RT-60003269 | IT-60017039 | Approve | jennifer.seagraves | Approved - Configuration Manager
Change Order | 91233 | - | RT-60003269 | IT-60017040 | Approve | jennifer.seagraves | Approved - Regulatory
Change Order | 91233 | - | RT-60003269 | IT-60017041 | Approve | jennifer.seagraves | Approved - Originator
Change Order | 91233 | - | RT-60003269 | IT-60017042 | Approve | jennifer.seagraves | Approved - Training
Change Order | 91233 | - | RT-60003270 | IT-60017056 |  | jennifer.seagraves | Implement - EM Supervisor (Rework Coordination)
Change Order | 91233 | - | RT-60003270 | IT-60017054 | Approve | jennifer.seagraves | Accept - EM Supervisor
Change Order | 91233 | - | RT-60003270 | IT-60017052 | Approve | jennifer.seagraves | Accept - Change Owner
Change Order | 91233 | - | RT-60003270 | IT-60017053 | Approve | jennifer.seagraves | Accept - Planner
Change Order | 91233 | - | RT-60003270 | IT-60017055 | Approve | jennifer.seagraves | Accept - Planned
Change Order | 91233 | - | RT-60003270 | IT-60017043 | Approve | jennifer.seagraves | Accept - TLC System Administrator
Change Order | 91233 | - | RT-60003270 | IT-60017048 | Approve | jennifer.seagraves | Implement - SME
Change Order | 91233 | - | RT-60003270 | IT-60017046 |  | jennifer.seagraves | Implement - Quality Supervisor (Rework)
Change Order | 91233 | - | RT-60003270 | IT-60017047 |  | jennifer.seagraves | Implement - Change Owner
Change Order | 91233 | - | RT-60003270 | IT-60017044 | Approve | jennifer.seagraves | Implement - Supervisor, Quality Assurance (Rework Coordination)
Change Order | 91233 | - | RT-60003270 | IT-60017045 |  | jennifer.seagraves | Implement - Configuration Manager
Change Order | 91233 | - | RT-60003270 | IT-60017051 | Approve | jennifer.seagraves | Accept - Quality Supervisor (Rework)
Change Order | 91233 | - | RT-60003270 | IT-60017049 | Approve | jennifer.seagraves | Accept - Supervisor, Quality Assurance
Change Order | 91233 | - | RT-60003270 | IT-60017050 | Approve | jennifer.seagraves | Accept - Planned
Change Order | 91391 | - | RT-60005650 | IT-60030412 | Approve | jennifer.butler | Approved - Configuration Mgr
Change Order | 91391 | - | RT-60005650 | IT-60030413 | Approve | jennifer.butler | Approved - Regulatory
Change Order | 91391 | - | RT-60005650 | IT-60030414 | Approve | jennifer.butler | Approved - Originator
Change Order | 91391 | - | RT-60005650 | IT-60030415 | Approve | jennifer.butler | Approved - Training
Change Order | 91391 | - | RT-60005651 | IT-60030417 | Approve | jennifer.butler | Accept - Change Owner
Change Order | 91391 | - | RT-60005651 | IT-60030423 |  | jennifer.butler | Implement - SME
Change Order | 91391 | - | RT-60005651 | IT-60030418 | Approve | jennifer.butler | Accept - EInfotree Process Administrator
Change Order | 91391 | - | RT-60005651 | IT-60030419 | Approve | jennifer.butler | Accept - CDI Production Chemistry Supervisor
Change Order | 91391 | - | RT-60005651 | IT-60030420 | Approve | jennifer.butler | Accept - TLC System Administrator
Change Order | 91391 | - | RT-60005651 | IT-60030416 | Approve | jennifer.butler | Accept - Planned
Change Order | 91391 | - | RT-60005651 | IT-60030422 |  | jennifer.butler | Implement - Change Owner
Change Order | 91391 | - | RT-60005651 | IT-60030421 |  | jennifer.butler | Implement - Configuration Mgr
Change Order | 91420 | - | RT-60004627 | IT-60024725 | Approve | amy.brown | Accept - Planner
Change Order | 91420 | - | RT-60004627 | IT-60024723 | Approve | amy.brown | Accept - Finance
Change Order | 91420 | - | RT-60004627 | IT-60024724 | Approve | amy.brown | Accept - Buyer
Change Order | 91420 | - | RT-60004627 | IT-60024727 |  | amy.brown | Implement - Implementer
Change Order | 91420 | - | RT-60004627 | IT-60024726 | Approve | amy.brown | Accept - Accepter
Change Order | 91420 | - | RT-60004626 | IT-60024721 | Approve | amy.brown | Approved - Originator
Change Order | 91420 | - | RT-60004626 | IT-60024722 | Approve | amy.brown | Approved - Configuration Manager
Change Order | 91420 | - | RT-60004626 | IT-60024720 | Approve | amy.brown | Approved - Graphics
Change Order | 91677 | - | RT-60004629 | IT-60024733 | Approve | amy.brown | Approved - Originator
Change Order | 91677 | - | RT-60004629 | IT-60024734 | Approve | amy.brown | Approved - Configuration Manager
Change Order | 91677 | - | RT-60004630 | IT-60024735 |  | amy.brown | Accept - Accepter
Change Order | 90567 | - | RT-60003087 | IT-60016110 | Approve | janie.eskuri | Accept - Planner
Change Order | 90567 | - | RT-60003087 | IT-60016111 | Approve | janie.eskuri | Accept - Planned
Change Order | 90567 | - | RT-60003087 | IT-60016112 |  | janie.eskuri | Accept - Operations - Bump Serial Number for 184604
Change Order | 90567 | - | RT-60003087 | IT-60016103 | Approve | janie.eskuri | Accept - Planned
Change Order | 90567 | - | RT-60003087 | IT-60016102 | Approve | janie.eskuri | Accept - Change Owner
Change Order | 90567 | - | RT-60003087 | IT-60016105 | Approve | janie.eskuri | Accept - Validation SME
Change Order | 90567 | - | RT-60003087 | IT-60016104 | Approve | janie.eskuri | Accept - Planner
Change Order | 90567 | - | RT-60003087 | IT-60016108 | Approve | janie.eskuri | Accept - Finance
Change Order | 90567 | - | RT-60003087 | IT-60016106 | Approve | janie.eskuri | Accept - CDI Production Supervisor
Change Order | 90567 | - | RT-60003087 | IT-60016107 | Approve | janie.eskuri | Accept - TLC System Administrator / Update Effective Date
Change Order | 90567 | - | RT-60003087 | IT-60016109 |  | janie.eskuri | Accept - Buyer
Change Order | 90567 | - | RT-60003086 | IT-60016100 | Approve | janie.eskuri | Approved - Technical Content Drawing Approver
Change Order | 90567 | - | RT-60003086 | IT-60016099 | Approve | janie.eskuri | Approved - Originator
Change Order | 90567 | - | RT-60003086 | IT-60016101 | Approve | janie.eskuri | Approved - Configuration Mgr
Change Order | 90567 | - | RT-60003086 | IT-60016098 | Approve | janie.eskuri | Approved - Supplier Quality Engineering
Change Order | 90567 | - | RT-60003086 | IT-60016097 | Approve | janie.eskuri | Approved - Regulatory
Change Order | 90567 | - | RT-60003086 | IT-60016095 | Approve | janie.eskuri | Approved - CAD Checker
Change Order | 90567 | - | RT-60003086 | IT-60016096 | Approve | janie.eskuri | Approved - Training Mgr
Change Order | 88329 | - | RT-50004246 | IT-50022099 | Approve | amy.brown | Approved - Regulatory
Change Order | 88329 | - | RT-50004246 | IT-50022100 | Approve | amy.brown | Approved - Training Manager
Change Order | 88329 | - | RT-50004246 | IT-50022102 | Approve | amy.brown | Approved - Originator
Change Order | 88329 | - | RT-50004246 | IT-50022101 | Approve | amy.brown | Approved - Configuration Manager
Change Order | 88329 | - | RT-50004247 | IT-50022103 | Approve | amy.brown | Accept - Change Owner
Change Order | 88329 | - | RT-50004247 | IT-50022107 | Approve | amy.brown | Accept - Production Supervisor / Scrap Associate
Change Order | 88329 | - | RT-50004247 | IT-50022105 |  | amy.brown | Implement - Configuration Manager
Change Order | 88329 | - | RT-50004247 | IT-50022104 | Approve | amy.brown | Implement - Quality Management Associate - CA/PA
Change Order | 88329 | - | RT-50004247 | IT-50022108 | Approve | amy.brown | Accept - TLC System Administrator
Change Order | 88329 | - | RT-50004247 | IT-50022106 | Approve | amy.brown | Implement - Elkton Quality Management
Change Order | 88329 | - | RT-50004247 | IT-50022109 | Approve | amy.brown | Accept - Planned
Change Order | 88329 | - | RT-50004247 | IT-50022111 |  | amy.brown | Implement - Change Owner / Procedure Author / Owner
Change Order | 88329 | - | RT-50004247 | IT-50022110 | Approve | amy.brown | Accept - Elkton Quality Management
Change Order | 88329 | - | RT-50004247 | IT-50022112 | Approve | amy.brown | Implement - DHF Implementer
Change Order | 88329 | - | RT-50004247 | IT-50022113 | Approve | amy.brown | Implement - Project Manager
Change Order | 88329 | - | RT-50004247 | IT-50022114 |  | amy.brown | Implement - Production Supervisor / Scrap Associate
Change Order | 91464 | - | RT-60003933 | IT-60020730 | Approve | amy.brown | Approved - Configuration Manager
Change Order | 91464 | - | RT-60003933 | IT-60020731 | Approve | amy.brown | Approved - Originator
Change Order | 91464 | - | RT-60003933 | IT-60020732 | Approve | amy.brown | Approved - Regulatory
Change Order | 91464 | - | RT-60003934 | IT-60020733 | Approve | amy.brown | Accept - Change Owner / Project Technical Lead
Change Order | 91464 | - | RT-60003934 | IT-60020734 |  | amy.brown | Implement - Project Manager
Change Order | 91464 | - | RT-60003934 | IT-60020735 |  | amy.brown | Implement - Configuration Manager
Change Order | 91464 | - | RT-60003934 | IT-60020736 |  | amy.brown | Implement - DHF Implementer
Change Order | 91464 | - | RT-60003934 | IT-60020737 |  | amy.brown | Implement - Change Owner
Change Order | 91700 | - | RT-60003936 | IT-60020745 | Approve | janie.eskuri | Approved - Originator
Change Order | 91700 | - | RT-60003936 | IT-60020746 | Approve | janie.eskuri | Approved - CAD Checker
Change Order | 91700 | - | RT-60003936 | IT-60020747 | Approve | janie.eskuri | Approved - Configuration Manager
Change Order | 91700 | - | RT-60003937 | IT-60020748 | Approve | janie.eskuri | Accept - Buyer
Change Order | 91700 | - | RT-60003937 | IT-60020750 |  | janie.eskuri | Implement - Buyer
Change Order | 91700 | - | RT-60003937 | IT-60020749 | Approve | janie.eskuri | Accept - Accepter
Change Order | 91700 | - | RT-60003937 | IT-60020751 |  | janie.eskuri | Implement - Implementer
Change Order | 91397 | - | RT-60005592 | IT-60030073 | Approve | william.broman | Approved - Change Owner / PTL
Change Order | 91397 | - | RT-60005592 | IT-60030075 | Approve | william.broman | Approved - Configuration Mgr
Change Order | 91397 | - | RT-60005592 | IT-60030074 | Approve | william.broman | Approved - CAD approver
Change Order | 91397 | - | RT-60005593 | IT-60030078 |  | william.broman | Accept - SQE
Change Order | 91397 | - | RT-60005593 | IT-60030077 |  | william.broman | Accept - Materials Management
Change Order | 91397 | - | RT-60005593 | IT-60030076 |  | william.broman | Accept - Change Owner / PTL
Change Order | 90836 | - | RT-60005902 | IT-60031987 | Approve | robert.kumpula | Approved - Configuration Mgr
Change Order | 90836 | - | RT-60005902 | IT-60031988 | Approve | robert.kumpula | Approved - Change Owner
Change Order | 90836 | - | RT-60005903 | IT-60031990 | Approve | robert.kumpula | Accept - Buyer / Planner
Change Order | 90836 | - | RT-60005903 | IT-60031991 | Approve | robert.kumpula | Accept - Accepter
Change Order | 90836 | - | RT-60005903 | IT-60031989 | Approve | robert.kumpula | Accept - Buyer
Change Order | 90836 | - | RT-60005903 | IT-60031993 |  | robert.kumpula | Implement - Implementer
Change Order | 90836 | - | RT-60005903 | IT-60031992 | Approve | robert.kumpula | Implement - Buyer / Planner
Change Order | 91168 | - | RT-60004638 | IT-60024814 | Approve | jennifer.seagraves | Approved - SQE
Change Order | 91168 | - | RT-60004638 | IT-60024815 | Approve | jennifer.seagraves | Approved - Regulatory
Change Order | 91168 | - | RT-60004638 | IT-60024817 | Approve | jennifer.seagraves | Approved - Configuration Manager
Change Order | 91168 | - | RT-60004638 | IT-60024816 | Approve | jennifer.seagraves | Approved - Originator
Change Order | 91168 | - | RT-60004639 | IT-60024819 | Approve | jennifer.seagraves | Accept - Buyer
Change Order | 91168 | - | RT-60004639 | IT-60024821 |  | jennifer.seagraves | Accept - SQE
Change Order | 91168 | - | RT-60004639 | IT-60024820 |  | jennifer.seagraves | Accept - Change Owner
Change Order | 91168 | - | RT-60004639 | IT-60024818 | Approve | jennifer.seagraves | Accept - Buyer
Change Order | 91421 | - | RT-60004699 | IT-60025182 | Approve | jennifer.seagraves | Approved - Training
Change Order | 91421 | - | RT-60004699 | IT-60025183 | Approve | jennifer.seagraves | Approved - Regulatory
Change Order | 91421 | - | RT-60004699 | IT-60025185 | Approve | jennifer.seagraves | Approved - Configuration Manager
Change Order | 91421 | - | RT-60004699 | IT-60025184 | Approve | jennifer.seagraves | Approved - Originator
Change Order | 91421 | - | RT-60004700 | IT-60025195 | Approve | jennifer.seagraves | Implement - SME (Sternal Saw)
Change Order | 91421 | - | RT-60004700 | IT-60025191 | Approve | jennifer.seagraves | Accept - CDI Supervisor
Change Order | 91421 | - | RT-60004700 | IT-60025193 | Approve | jennifer.seagraves | Implement - SME (EM Product)
Change Order | 91421 | - | RT-60004700 | IT-60025194 |  | jennifer.seagraves | Implement - Change Onwer
Change Order | 91421 | - | RT-60004700 | IT-60025192 | Approve | jennifer.seagraves | Accept - TLC System Administrator
Change Order | 91421 | - | RT-60004700 | IT-60025196 |  | jennifer.seagraves | Implement - Configuration Manager
Change Order | 91421 | - | RT-60004700 | IT-60025188 |  | jennifer.seagraves | Implement - SME (CDI 550)
Change Order | 91421 | - | RT-60004700 | IT-60025187 | Approve | jennifer.seagraves | Implement - SME (CDI 500)
Change Order | 91421 | - | RT-60004700 | IT-60025186 | Approve | jennifer.seagraves | Accept - EM Supervisor
Change Order | 91421 | - | RT-60004700 | IT-60025189 | Approve | jennifer.seagraves | Accept - Change Owner
Change Order | 91421 | - | RT-60004700 | IT-60025190 | Approve | jennifer.seagraves | Accept - Planned
Change Order | 86862 | - | RT-60000433 | IT-60002242 | Approve | kathir.soundararajan | Approved - Technical Content Drawing Approver
Change Order | 86862 | - | RT-60000433 | IT-60002243 | Approve | kathir.soundararajan | Approved - Configuration Mgr
Change Order | 86862 | - | RT-60000433 | IT-60002241 | Approve | kathir.soundararajan | Approved - Regulatory
Change Order | 86862 | - | RT-60000433 | IT-60002240 | Approve | kathir.soundararajan | Approved - CAD
Change Order | 86862 | - | RT-60000433 | IT-60002244 | Approve | kathir.soundararajan | Approved - Originator
Change Order | 86862 | - | RT-60000434 | IT-60002247 | Approve | kathir.soundararajan | Accept - Change Owner
Change Order | 86862 | - | RT-60000434 | IT-60002245 | Approve | kathir.soundararajan | Accept - Quality Supervisor
Change Order | 86862 | - | RT-60000434 | IT-60002248 | Approve | kathir.soundararajan | Accept - Planned
Change Order | 86862 | - | RT-60000434 | IT-60002246 |  | kathir.soundararajan | Accept - Buyer
Change Order | 88331 | - | RT-50004252 | IT-50022188 | Approve | amy.brown | Approved - Configuration Manager
Change Order | 88331 | - | RT-50004252 | IT-50022189 | Approve | amy.brown | Approved - Originator
Change Order | 88331 | - | RT-50004252 | IT-50022190 | Approve | amy.brown | Approved - Regulatory
Change Order | 88331 | - | RT-50004252 | IT-50022191 | Approve | amy.brown | Approved - Training Manager
Change Order | 88331 | - | RT-50004253 | IT-50022192 | Approve | amy.brown | Accept - Planned
Change Order | 88331 | - | RT-50004253 | IT-50022193 | Approve | amy.brown | Implement - Project Manager
Change Order | 88331 | - | RT-50004253 | IT-50022197 | Approve | amy.brown | Accept - Site Head of Quality - Elkton
Change Order | 88331 | - | RT-50004253 | IT-50022198 | Approve | amy.brown | Accept - Change Owner
Change Order | 88331 | - | RT-50004253 | IT-50022196 | Approve | amy.brown | Accept - TLC System Administrator
Change Order | 88331 | - | RT-50004253 | IT-50022195 | Approve | amy.brown | Implement - Quality Associate
Change Order | 88331 | - | RT-50004253 | IT-50022194 |  | amy.brown | Implement - Production Chemistry Supervisor / Scrap Associate
Change Order | 88331 | - | RT-50004253 | IT-50022203 | Approve | amy.brown | Implement - DHF Implementer
Change Order | 88331 | - | RT-50004253 | IT-50022199 | Approve | amy.brown | Accept - Production Chemistry Supervisor / Scrap Associate
Change Order | 88331 | - | RT-50004253 | IT-50022202 |  | amy.brown | Implement - Change Owner / Procedure Author / Owner
Change Order | 88331 | - | RT-50004253 | IT-50022200 |  | amy.brown | Implement - Configuration Manager
Change Order | 88331 | - | RT-50004253 | IT-50022201 | Approve | amy.brown | Implement - Site Head of Quality - Elkton
Change Order | 89778 | - | RT-50001013 | IT-50005473 | Approve | janie.eskuri | Approved - Configuration Mgr
Change Order | 89778 | - | RT-50001013 | IT-50005472 | Approve | janie.eskuri | Approved - Training
Change Order | 89778 | - | RT-50001013 | IT-50005476 | Approve | janie.eskuri | Approved - Regulatory
Change Order | 89778 | - | RT-50001013 | IT-50005477 | Approve | janie.eskuri | Approved - Originator
Change Order | 89778 | - | RT-50001013 | IT-50005475 | Approve | janie.eskuri | Approved - CAD Checker
Change Order | 89778 | - | RT-50001013 | IT-50005474 | Approve | janie.eskuri | Approved - Technical Content Drawing Approver
Change Order | 89778 | - | RT-50001014 | IT-50005482 | Approve | janie.eskuri | Accept - CDI Production Spvr
Change Order | 89778 | - | RT-50001014 | IT-50005483 | Approve | janie.eskuri | Accept - Planner
Change Order | 89778 | - | RT-50001014 | IT-50005484 | Approve | janie.eskuri | Accept - TLC System Administrator
Change Order | 89778 | - | RT-50001014 | IT-50005478 | Approve | janie.eskuri | Accept - Planned
Change Order | 89778 | - | RT-50001014 | IT-50005480 |  | janie.eskuri | Accept - SQE
Change Order | 89778 | - | RT-50001014 | IT-50005479 |  | janie.eskuri | Accept - Change Owner
Change Order | 89778 | - | RT-50001014 | IT-50005481 | Approve | janie.eskuri | Accept - Operations - Bump BPM Serial Number
Change Order | 91655 | - | RT-60004271 | IT-60022544 | Approve | amy.brown | Approved - Configuration Mgr
Change Order | 91655 | - | RT-60004271 | IT-60022545 | Approve | amy.brown | Approved - Originator
Change Order | 91655 | - | RT-60004271 | IT-60022546 | Approve | amy.brown | Approved - CAD Checker
Change Order | 91655 | - | RT-60004272 | IT-60022547 |  | amy.brown | Accept - Buyer
Change Order | 91655 | - | RT-60004272 | IT-60022548 |  | amy.brown | Accept - Accepter
Change Order | 88672 | - | RT-60001941 | IT-60010331 | Approve | amy.brown | Approved - Non-Product Software
Change Order | 88672 | - | RT-60001941 | IT-60010330 | Approve | amy.brown | Approved - Regulatory
Change Order | 88672 | - | RT-60001941 | IT-60010329 | Approve | amy.brown | Approved - Training
Change Order | 88672 | - | RT-60001941 | IT-60010333 | Approve | amy.brown | Approved - Originator
Change Order | 88672 | - | RT-60001941 | IT-60010332 | Approve | amy.brown | Approved - Configuration Manager
Change Order | 88672 | - | RT-60001942 | IT-60010339 |  | amy.brown | Implement - Change Owner / Procedure Author / Owner
Change Order | 88672 | - | RT-60001942 | IT-60010338 |  | amy.brown | Implement - Site Head of Quality - Elkton
Change Order | 88672 | - | RT-60001942 | IT-60010343 | Approve | amy.brown | Accept - Planned
Change Order | 88672 | - | RT-60001942 | IT-60010341 | Approve | amy.brown | Accept - Production Supervisor
Change Order | 88672 | - | RT-60001942 | IT-60010342 | Approve | amy.brown | Accept - TLC System Administrator
Change Order | 88672 | - | RT-60001942 | IT-60010340 |  | amy.brown | Implement - Project Manager
Change Order | 88672 | - | RT-60001942 | IT-60010348 | Approve | amy.brown | Implement - Project Manager
